divTime	mrca	species.1	species.2	n	spClade.1	spClade.2	pairClade
643.1716	252	Amia_calva	Plecoglossus_altivelis	14	Amia_calva	Plecoglossus_altivelis	Amia_calva-Plecoglossus_altivelis
643.1716	252	Amia_calva	Oncorhynchus_mykiss	46	Amia_calva	Oncorhynchus_mykiss	Amia_calva-Oncorhynchus_mykiss
643.1716	252	Amia_calva	Lucifuga_dentata	17	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Poecilia_reticulata	7	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Anableps_anableps	13	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Nematolebias_whitei	11	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Sebastes_umbrosus	18	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Taurulus_bubalis	18	Amia_calva	258	258-Amia_calva
643.1716	252	Amia_calva	Danio_kyathit	23	Amia_calva	Danio_kyathit	Amia_calva-Danio_kyathit
643.1716	252	Amia_calva	Anguilla_anguilla	34	Amia_calva	Anguilla_anguilla	Amia_calva-Anguilla_anguilla
643.1716	252	Amia_calva	Heterotis_niloticus	13	Amia_calva	Heterotis_niloticus	Amia_calva-Heterotis_niloticus
700.2	251	Amia_calva	Polyodon_spathula	114	Amia_calva	Polyodon_spathula	Amia_calva-Polyodon_spathula
792.7	250	Amia_calva	Erpetoichthys_calabaricus	37	Amia_calva	Erpetoichthys_calabaricus	Amia_calva-Erpetoichthys_calabaricus
861.35	249	Amia_calva	Microcaecilia_unicolor	2	Amia_calva	266	266-Amia_calva
861.35	249	Amia_calva	Geotrypetes_seraphini	7	Amia_calva	266	266-Amia_calva
861.35	249	Amia_calva	Rhinatrema_bivittatum	6	Amia_calva	266	266-Amia_calva
861.35	249	Amia_calva	Leptobrachium_ailaonicum	13	Amia_calva	Leptobrachium_ailaonicum	Amia_calva-Leptobrachium_ailaonicum
861.35	249	Amia_calva	Limnodynastes_dumerilii	6	Amia_calva	Limnodynastes_dumerilii	Amia_calva-Limnodynastes_dumerilii
861.35	249	Amia_calva	Bufo_bufo	11	Amia_calva	272	272-Amia_calva
