Species	Observed.Class.1	Observed.Class.2	Expected.At.500.MY.Class.1	Expected.At.500.MY.Class.2
Hydrophis_cyanocinctus	32	344	5.54595445847657	28.1108639711827
Emydocephalus_ijimae	30	314	5.21861059288048	23.6887750909414
Crotalus_viridis_viridis	28	287	4.87933682530988	19.6060773156103
Naja_naja	29	301	4.89490882928818	22.3728119756873
Pituophis_catenifer_pumilus	28	416	4.00189912929758	21.2861184152418
Zootoca_vivipara	2	256	0.0417131580299983	13.1184284304255
Sphaerodactylus_townsendi	7	260	0.140277951258694	8.28938667188678
Sceloporus_undulatus	1	200	NA	6.04320764506831
Thamnophis_elegans	33	388	5.92458263233779	17.4709224261632
Pseudonaja_textilis	24	253	3.4992936231475	20.9746572026005
Aspidoscelis_marmoratus	8	159	0.704916764733736	7.13805820128194
Varanus_komodoensis	13	260	0.637862115094246	17.8978874999948
Trichechus_manatus_latirostris	0	46	NA	1.29458969824767
Dugong_dugon	1	43	0.0298302470013456	1.11480643267695
Hydrodamalis_gigas	4	44	0.272449635440715	0.882469895467157
Heterohyrax_brucei	1	31	0.0303584078571657	0.84247145578541
Procavia_capensis	1	29	0.0300488801906165	0.551387053398406
Chrysochloris_asiatica	1	46	0.0299374477749689	1.98359249909701
Loxodonta_africana	1	41	0.0301157046121205	1.11733427419224
Elephas_maximus	1	40	0.0294465913785976	1.11569821213998
Elephantulus_edwardii	1	7	0.0297907707877143	0.00447801038977714
Echinops_telfairi	1	139	0.0309029921974079	4.83381860610087
Orycteropus_afer_afer	1	44	0.0303391961671481	0.972513350201124
Microgale_talazaci	1	162	0.0309070839465744	5.30256614049148
Platanista_minor	1	40	NA	1.15538422656558
Tursiops_truncatus	1	38	NA	0.632534019666036
Eubalaena_japonica	1	35	NA	0.363105635855951
Inia_geoffrensis	1	45	NA	0.988031511883504
Neophocaena_asiaeorientalis_asiaeorientalis	1	44	NA	0.951786924358639
Lipotes_vexillifer	1	40	NA	0.974346810872149
Megaptera_novaeangliae	2	47	0.00391351138756974	1.11245654974009
Mesoplodon_bidens	1	39	NA	1.15143828899795
Physeter_catodon	1	39	NA	0.99884813961517
Monodon_monoceros	1	40	NA	0.59260315796876
Sus_scrofa	1	15	NA	0.0143923337573652
Muntiacus_muntjak	5	42	0.115790421462855	1.68046554808273
Felis_catus	3	27	0.00410267037644868	0.318706463288751
Equus_asinus	2	14	0.0043898491876672	0.0583878577223304
Molossus_molossus	1	42	NA	1.16980866742219
Rousettus_aegyptiacus	2	37	0.00430713407879947	1.29882728649126
Talpa_occidentalis	18	19	0.0347511946470875	0.00737148655382335
Macaca_fascicularis	0	53	NA	1.46756860041818
Oryctolagus_cuniculus_cuniculus	0	22	NA	0.339220048771361
Ictidomys_tridecemlineatus	0	14	NA	0.0124831435410675
Gerris_buenoi	7	221	0.104085816554547	2.8540969956854
Microvelia_longipes	4	40	0.0879345670949596	0.613333631492734
Lethocerus_indicus	1	87	0.00159028960304851	1.00140048979651
