copy1	copy2	ID.1	ID.2	TEconsensus.1	TEconsensus.2	species.1	species.2	superfamily	mrca	divTime	pID	length	qStart	qEnd	sStart	sEnd	ka	ks	length.aa	community	hitGroup
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991674.1-109288371-109295478-+-GCA_905171775.1:ltr-1_family-524	73	1413278	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.235	7112	1	7036	32	7099	0.0643827638788976	0.297599928258647	6306	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-386078046-386085052-C-GCA_905171775.1:ltr-1_family-524	2	1396807	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.082	7070	1	7037	1	7006	0.0803456124868246	0.268862264646199	4236	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991673.1-35363528-35370222-+-GCA_905171775.1:ltr-1_family-524	73	1396721	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.318	6726	369	7036	1	6694	0.0642012494637985	0.285337381148986	6345	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	2	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.179	6544	151	6668	1	6482	0.0758552457042587	0.274282443003701	5529	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-583956532-583963522-C-GCA_905171775.1:ltr-1_family-524	2	1396708	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.603	7054	1	7037	9	6990	0.0660058457057614	0.292865195995582	6315	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	73	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.103	6544	369	6886	6482	1	0.0758839463767984	0.276405121199171	5526	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991669.1-195491500-195498064-+-GCA_905171775.1:ltr-1_family-524	73	1396749	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.788	6676	369	7036	1	6564	0.0634999186277315	0.289778334111335	6231	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-CAJIMN010000059.1-50618-57617-C-GCA_905171775.1:ltr-1_family-524	2	1396710	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.053	7052	1	7037	1	6999	0.0640511299207213	0.290129611836644	6312	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-93863375-93870353-C-GCA_905171775.1:ltr-1_family-524	2	1396797	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.514	7052	1	7036	9	6978	0.0654161451621645	0.288766517953284	6282	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991672.1-289684871-289691937-C-GCA_905171775.1:ltr-1_family-524	2	1396711	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.348	7066	1	7037	1	7035	0.0629424902156308	0.283319332747548	6321	4200	2394
