copy1	copy2	ID.1	ID.2	TEconsensus.1	TEconsensus.2	species.1	species.2	superfamily	mrca	divTime	pID	length	qStart	qEnd	sStart	sEnd	ka	ks	length.aa	community	hitGroup	independent	subClass	newName
GCA_015478945.1-JABUQX010068082.1-9577-11209-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92612	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	90.392	1582	1	1579	240	1799	0.065264488390622	0.159164998809336	1416	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010134132.1-24140-25991-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	77611	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	90.147	1766	1	1757	57	1799	0.0549330960368894	0.155538231099785	1092	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010073924.1-13069-14892-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	75254	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	90	1770	1	1764	57	1799	0.0615396980090803	0.166396420627646	1425	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010081482.1-10444-12127-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	86201	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	89.976	1686	2	1683	1719	57	0.0652843306950814	0.155017634348614	1389	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010041938.1-59190-60885-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90115	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	89.282	1698	24	1695	1892	212	0.0589247452749425	0.156225508469548	1419	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010121076.1-37398-39126-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92347	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	89.216	1734	19	1728	52	1776	0.0566044900107787	0.157970945538841	996	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010144157.1-14961-16789-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	89473	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	89.195	1740	1	1719	57	1769	0.0638161807089787	0.155208212616466	1368	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010032785.1-111735-113589-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	75961	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	89.172	1764	100	1854	1794	57	0.0738834371577549	0.165727008209656	1452	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010078242.1-5191-6967-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	85992	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	88.309	1668	99	1755	1799	155	0.0927408094967118	0.212418793954024	996	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010140516.1-38394-40117-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	83935	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	88.098	1714	1	1707	1742	52	0.0843916750578403	0.175694833132192	1404	1	1	FALSE	DNA	CMC-Chapaev-3
